カプチーノ（ホット）,ミルク,113,6.3,5.6,9.5,0.2,
カプチーノ（ホット）,低脂肪タイプ,92,6.6,3.1,9.8,0.2,
カプチーノ（ホット）,無脂肪乳,66,6.6,0.2,9.7,0.2,
カプチーノ（ホット）,豆乳,107,6.1,6.9,5.6,0.3,
カプチーノ（ホット）,アーモンドミルク,86,1.8,7.4,4.6,0.4,
カプチーノ（ホット）,オーツミルク,91,1.4,4,12.8,0.2,
カフェ アメリカーノ（ホット）,,11,0.8,0.1,2.2,0,
カフェ アメリカーノ（アイス）,,11,0.8,0.1,2.2,0,
キャラメル マキアート（ホット）,ミルク,209,8.3,8.2,26,0.3,
キャラメル マキアート（ホット）,低脂肪タイプ,182,8.7,4.8,26.4,0.3,
キャラメル マキアート（ホット）,無脂肪乳,147,8.7,1,26.2,0.3,
キャラメル マキアート（ホット）,豆乳,202,8.1,9.9,20.8,0.4,
キャラメル マキアート（ホット）,アーモンドミルク,174,2.3,10.5,19.4,0.5,
キャラメル マキアート（ホット）,オーツミルク,181,1.8,6,30.3,0.3,
キャラメル マキアート（アイス）,ミルク,202,7.7,7.8,25.8,0.3,
キャラメル マキアート（アイス）,低脂肪タイプ,172,7.7,4.4,25.6,0.3,
キャラメル マキアート（アイス）,無脂肪乳,141,7.7,1.1,25.5,0.3,
キャラメル マキアート（アイス）,豆乳,195,7.5,9.3,21,0.4,
キャラメル マキアート（アイス）,アーモンドミルク,165,2,9.5,19.5,0.5,
キャラメル マキアート（アイス）,オーツミルク,171,1.6,5.5,29.1,0.3,
ホワイト モカ（ホット）,ミルク,398,12.6,18.1,46.9,0.6,
ホワイト モカ（ホット）,低脂肪タイプ,364,13.1,13.8,47.4,0.6,
ホワイト モカ（ホット）,無脂肪乳,320,13,9,47.1,0.7,
ホワイト モカ（ホット）,豆乳,389,12.3,20.2,40.3,0.7,
ホワイト モカ（ホット）,アーモンドミルク,354,4.9,21,38.5,0.9,
ホワイト モカ（ホット）,オーツミルク,362,4.4,15.3,52.3,0.6,
ホワイト モカ（アイス）,ミルク,251,7.4,7.4,39.2,0.4,
ホワイト モカ（アイス）,低脂肪タイプ,230,7.4,5,39.1,0.4,
ホワイト モカ（アイス）,無脂肪乳,208,7.4,2.7,39,0.4,
ホワイト モカ（アイス）,豆乳,246,7.3,8.4,35.8,0.5,
ホワイト モカ（アイス）,アーモンドミルク,225,3.5,8.5,34.8,0.6,
ホワイト モカ（アイス）,オーツミルク,229,3.2,5.8,41.5,0.4,
エスプレッソ アフォガート フラペチーノ,,456,5.5,27.3,47.5,0.5,
コーヒー フラペチーノ,ミルク,207,3.2,2.8,42.3,0.4,
コーヒー フラペチーノ,低脂肪タイプ,194,3.2,1.5,42.2,0.4,
コーヒー フラペチーノ,無脂肪乳,182,3.2,0.1,42.1,0.5,
コーヒー フラペチーノ,豆乳,204,3.1,3.4,40.3,0.5,
コーヒー フラペチーノ,アーモンドミルク,191,0.9,3.5,39.7,0.5,
コーヒー フラペチーノ,オーツミルク,194,0.7,1.9,43.6,0.4,
キャラメル フラペチーノ,ミルク,327,3.6,12,51.2,0.5,
キャラメル フラペチーノ,低脂肪タイプ,314,3.6,10.6,51.2,0.5,
キャラメル フラペチーノ,無脂肪乳,302,3.6,9.2,51.1,0.5,
キャラメル フラペチーノ,豆乳,324,3.5,12.6,49.3,0.5,
キャラメル フラペチーノ,アーモンドミルク,311,1.3,12.7,48.6,0.6,
キャラメル フラペチーノ,オーツミルク,314,1.1,11,52.6,0.5,
ダーク モカ チップ フラペチーノ,ミルク,366,5.2,15.2,52.2,0.5,
ダーク モカ チップ フラペチーノ,低脂肪タイプ,354,5.2,13.8,52.1,0.5,
ダーク モカ チップ フラペチーノ,無脂肪乳,341,5.2,12.5,52.1,0.6,
ダーク モカ チップ フラペチーノ,豆乳,363,5.1,15.8,50.2,0.6,
ダーク モカ チップ フラペチーノ,アーモンドミルク,351,2.9,15.9,49.6,0.6,
ダーク モカ チップ フラペチーノ,オーツミルク,353,2.7,14.3,53.5,0.5,
抹茶 クリーム フラペチーノ,ミルク,341,5.3,12.7,52.1,0.5,
抹茶 クリーム フラペチーノ,低脂肪タイプ,324,5.2,10.8,52,0.5,
抹茶 クリーム フラペチーノ,無脂肪乳,307,5.2,9,51.9,0.5,
抹茶 クリーム フラペチーノ,豆乳,337,5.1,13.6,49.4,0.5,
抹茶 クリーム フラペチーノ,アーモンドミルク,320,2.1,13.7,48.5,0.6,
抹茶 クリーム フラペチーノ,オーツミルク,324,1.9,11.4,53.9,0.5,
バニラ クリーム フラペチーノ,ミルク,275,4.4,12.4,36.5,0.5,
バニラ クリーム フラペチーノ,低脂肪タイプ,258,4.4,10.5,36.4,0.5,
バニラ クリーム フラペチーノ,無脂肪乳,241,4.4,8.7,36.3,0.5,
バニラ クリーム フラペチーノ,豆乳,271,4.3,13.3,33.8,0.5,
バニラ クリーム フラペチーノ,アーモンドミルク,254,1.2,13.3,33,0.6,
バニラ クリーム フラペチーノ,オーツミルク,257,1,11.1,38.3,0.5,
ダーク モカ チップ クリーム フラペチーノ,ミルク,331,6.1,16.2,40.4,0.6,
ダーク モカ チップ クリーム フラペチーノ,低脂肪タイプ,314,6.1,14.3,40.3,0.6,
ダーク モカ チップ クリーム フラペチーノ,無脂肪乳,297,6,12.5,40.3,0.6,
ダーク モカ チップ クリーム フラペチーノ,豆乳,327,5.9,17.1,37.7,0.6,
ダーク モカ チップ クリーム フラペチーノ,アーモンドミルク,310,2.9,17.2,36.9,0.7,
ダーク モカ チップ クリーム フラペチーノ,オーツミルク,314,2.7,14.9,42.3,0.6,
マンゴーパッション ティー フラペチーノ,,138,0.6,0,34.1,0.2,
ココア（ホット）,ミルク,398,13.1,17.3,48.7,0.4,
ココア（ホット）,低脂肪タイプ,360,13.6,12.7,49.3,0.4,
